delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordons_de_pierres_seches_ha,amelioration_parcours_avec_sulla_ha,creation_de_prairies_permanentes_ha,agroforesterie_ha,region_id,matched_region_ar,matched_region_fr
سجنان,المعالية,78.6,53.4,0,439.6,418,139.3,406,سجنان,sjnan
سجنان,سجنان,34.9,22.5,0,439.63,0,109.55,406,سجنان,sjnan
سجنان,المشارقة,46.6,66.3,0,232.45,99,96.9,406,سجنان,sjnan
سجنان,العبابسة,31,40,0,173.9,128,59,406,سجنان,sjnan
سجنان,السحابنة,30.8,36.2,0,309.7,23,161.35,406,سجنان,sjnan
سجنان,امادن,10.5,23.2,0,15,0,41.95,406,سجنان,sjnan
سجنان,سيدي مشرق,21.5,25,0,52.3,0,82.85,406,سجنان,sjnan
سجنان,الحشاشنة,29.8,44.2,0,514.45,82,53,406,سجنان,sjnan
غزالة,اولاد المي,52.4,21,0,78,0,167.6,386,غزالة,ghzala
غزالة,العرب,36.4,21.5,0,69.5,0,134.7,386,غزالة,ghzala
جومين,الطواجنية,46.6,67.3,12,163.89,0,88.65,413,جومين,joumin
جومين,بازينة,26,36.7,0,131.9,0,118,413,جومين,joumin
جومين,اولاد غانم,42,46.9,16,132.2,0,79.7,413,جومين,joumin
جومين,الشنانة,27.5,19.4,5,175.82,0,104.7,413,جومين,joumin
جومين,رواحة,34.4,48.5,54,73.88,0,90.75,413,جومين,joumin
