annee,delegation,vaches_de_race_pure_mille_tetes,vaches_locales_et_croisees_mille_tetes,ovins_mille_tetes,caprins_mille_tetes,apiculture_moderne_mille_tetes,apiculture_traditionnelle_mille_tetes,autres_tetes,region_id,matched_region_ar,matched_region_fr
2020,باجة الشمالية,4100,8000,40000,1900,800,NA,NA,NA,NA,NA
2020,باجة الجنوبية,6400,5800,35000,1900,800,NA,NA,NA,NA,NA
2020,مجاز الباب,1300,2100,45000,900,600,NA,NA,49,مجاز الباب,mjaz albab
2020,قبلاط,800,1300,58000,2000,800,NA,NA,790,قبلاط,qblat
2020,تستور,1300,2100,30000,1700,850,NA,NA,429,تستور,tstour
2020,تبرسق,1000,3000,40000,1600,900,NA,NA,204,تبرسق,tbrsq
2020,تيبار,2000,1100,7000,500,650,NA,NA,725,تيبار,tibar
2020,عمدون,4500,2600,22000,3000,1550,NA,NA,824,عمدون,amdoun
2020,نفزة,1300,8500,23000,6500,1550,NA,NA,408,نفزة,nfza
2020,كامل الولاية,22700,34500,300000,20000,8500,NA,NA,NA,NA,NA
2021,باجة الشمالية,4250,8300,45000,2100,850,NA,NA,NA,NA,NA
2021,باجة الجنوبية,6400,5800,35000,2000,850,NA,NA,NA,NA,NA
2021,مجاز الباب,1400,2400,45000,1100,600,NA,NA,49,مجاز الباب,mjaz albab
2021,قبلاط,850,1400,58000,2500,800,NA,NA,790,قبلاط,qblat
2021,تستور,1350,2200,32000,1900,900,NA,NA,429,تستور,tstour
2021,تبرسق,1100,3200,40000,2000,1000,NA,NA,204,تبرسق,tbrsq
2021,تيبار,2100,1300,7500,800,650,NA,NA,725,تيبار,tibar
2021,عمدون,4800,3200,25000,5600,1650,NA,NA,824,عمدون,amdoun
2021,نفزة,1550,8900,27500,7000,1700,NA,NA,408,نفزة,nfza
2021,كامل الولاية,23800,36700,315000,25000,9000,NA,NA,NA,NA,NA
2022,باجة الشمالية,3900,8100,45000,2100,800,NA,NA,NA,NA,NA
2022,باجة الجنوبية,5800,5400,35000,2000,800,NA,NA,NA,NA,NA
2022,مجاز الباب,1300,2200,45000,1100,600,NA,NA,49,مجاز الباب,mjaz albab
2022,قبلاط,800,1200,58000,2500,700,NA,NA,790,قبلاط,qblat
2022,تستور,1200,1800,32000,1900,800,NA,NA,429,تستور,tstour
2022,تبرسق,850,2950,40000,2000,1000,NA,NA,204,تبرسق,tbrsq
2022,تيبار,2000,1100,7500,800,600,NA,NA,725,تيبار,tibar
2022,عمدون,4500,2400,25000,5600,1600,NA,NA,824,عمدون,amdoun
2022,نفزة,1200,8500,27500,7000,1600,NA,NA,408,نفزة,nfza
2022,كامل الولاية,21550,33650,315000,25000,8500,NA,NA,NA,NA,NA
2023,باجة الشمالية,3200,7800,43000,2000,NA,NA,758,NA,NA,NA
2023,باجة الجنوبية,5700,4500,33000,1600,NA,NA,650,NA,NA,NA
2023,مجاز الباب,1200,1800,43000,1100,NA,NA,852,49,مجاز الباب,mjaz albab
2023,قبلاط,700,1000,58000,2200,NA,NA,531,790,قبلاط,qblat
2023,تستور,1100,1700,31000,1500,NA,NA,1000,429,تستور,tstour
2023,تبرسق,750,2750,38000,1800,NA,NA,750,204,تبرسق,tbrsq
2023,تيبار,2000,1100,7000,500,NA,NA,370,725,تيبار,tibar
2023,عمدون,4400,2400,24000,5000,NA,NA,1150,824,عمدون,amdoun
2023,نفزة,1100,8400,25000,6000,NA,NA,1200,408,نفزة,nfza
2023,كامل الولاية,20150,31450,302000,21700,10000,200,7261,NA,NA,NA
2024,باجة الشمالية,3400,7800,42000,2000,700,NA,NA,NA,NA,NA
2024,باجة الجنوبية,5700,4500,32000,1600,700,NA,NA,NA,NA,NA
2024,مجاز الباب,2000,2000,43000,1000,500,NA,NA,49,مجاز الباب,mjaz albab
2024,قبلاط,1000,1400,58000,2000,600,NA,NA,790,قبلاط,qblat
2024,تستور,2000,1900,31000,1200,700,NA,NA,429,تستور,tstour
2024,تبرسق,1100,2900,38000,1700,900,NA,NA,204,تبرسق,tbrsq
2024,تيبار,1700,1000,7000,500,500,NA,NA,725,تيبار,tibar
2024,عمدون,4400,2400,24000,5000,1500,NA,NA,824,عمدون,amdoun
2024,نفزة,1100,8400,25000,6000,1400,NA,NA,408,نفزة,nfza
2024,كامل الولاية,22400,32300,300000,21000,7500,150,6500,NA,NA,NA
